Date,Sensor 1,Sensor 2,Sensor 3,Increment
01/01/2023,3.314634845,38.22595053,0.099833417,0.1
02/01/2023,7.33546968,38.29315701,0.198669331,0.2
03/01/2023,7.452407598,65.9840708,0.295520207,0.3
04/01/2023,3.089080082,2.757040666,0.389418342,0.4
05/01/2023,6.974869426,21.13142624,0.479425539,0.5
06/01/2023,6.905389708,64.87759935,0.564642473,0.6
07/01/2023,3.201924286,29.52081346,0.644217687,0.7
08/01/2023,1.367389482,30.17755599,0.717356091,0.8
09/01/2023,9.140733428,77.76006313,0.78332691,0.9
10/01/2023,8.723299335,33.91769041,0.841470985,1
11/01/2023,0.022671735,80.69696922,0.89120736,1.1
12/01/2023,2.671448519,73.6032578,0.932039086,1.2
13/01/2023,9.090906595,36.34381672,0.963558185,1.3
14/01/2023,4.252812554,44.42586549,0.98544973,1.4
15/01/2023,5.373433263,77.72469071,0.997494987,1.5
16/01/2023,6.436976235,47.20873212,0.999573603,1.6
17/01/2023,2.774399067,18.82396466,0.99166481,1.7
18/01/2023,7.604965641,36.06983243,0.973847631,1.8
19/01/2023,5.542809147,17.42314892,0.946300088,1.9
20/01/2023,7.96935864,96.5293228,0.909297427,2
21/01/2023,8.572255935,76.78942361,0.863209367,2.1
22/01/2023,5.101645225,88.40370135,0.808496404,2.2
23/01/2023,8.413686415,62.4987558,0.745705212,2.3
24/01/2023,9.708397091,60.08887447,0.675463181,2.4
25/01/2023,8.946069819,93.76284579,0.598472144,2.5
26/01/2023,1.895505745,53.94776426,0.515501372,2.6
27/01/2023,8.403374879,77.95068932,0.42737988,2.7
28/01/2023,6.383631628,75.03053542,0.33498815,2.8
29/01/2023,0.325598603,64.80937544,0.239249329,2.9
30/01/2023,7.101511485,49.81973224,0.141120008,3
31/01/2023,2.608723427,13.60805217,0.041580662,3.1
01/02/2023,1.059254298,61.07181777,-0.058374143,3.2
02/02/2023,3.067714437,74.50197545,-0.157745694,3.3
03/02/2023,4.017201773,65.17064348,-0.255541102,3.4
04/02/2023,6.935956131,56.28712494,-0.350783228,3.5
05/02/2023,4.49005563,80.80615319,-0.442520443,3.6
06/02/2023,8.536807845,79.25625022,-0.529836141,3.7
07/02/2023,2.520852803,83.3123274,-0.611857891,3.8
08/02/2023,1.985585796,66.75376071,-0.687766159,3.9
09/02/2023,2.860538911,63.55584065,-0.756802495,4
10/02/2023,4.546790714,10.60700356,-0.818277111,4.1
11/02/2023,4.783376794,92.98635099,-0.871575772,4.2
12/02/2023,7.632994843,26.53810331,-0.916165937,4.3
13/02/2023,4.770224593,32.27513069,-0.951602074,4.4
14/02/2023,1.219298605,35.65491145,-0.977530118,4.5
15/02/2023,0.342302514,67.80205486,-0.993691004,4.6
16/02/2023,9.432503066,8.149543628,-0.999923258,4.7
17/02/2023,5.774284754,68.75088791,-0.996164609,4.8
18/02/2023,7.609422443,79.02793383,-0.982452613,4.9
19/02/2023,1.329080154,14.89530997,-0.958924275,5
20/02/2023,6.820069397,51.52688547,-0.925814682,5.1
21/02/2023,2.126625999,45.0051651,-0.883454656,5.2
22/02/2023,1.825736356,67.72927423,-0.832267442,5.3
23/02/2023,1.371743804,61.14818099,-0.772764488,5.4
24/02/2023,5.373930993,72.6414819,-0.705540326,5.5
25/02/2023,7.743445563,42.56682549,-0.631266638,5.6
26/02/2023,5.147901599,15.09236184,-0.550685543,5.7
27/02/2023,0.168476572,99.30322995,-0.464602179,5.8
28/02/2023,9.254384443,84.87567583,-0.373876665,5.9
01/03/2023,3.427117551,85.15597927,-0.279415498,6
02/03/2023,5.370257869,6.185641959,-0.182162504,6.1
03/03/2023,8.546331207,11.23251116,-0.083089403,6.2
04/03/2023,1.192274674,55.31854392,0.0168139,6.3
05/03/2023,6.400239478,33.54076213,0.116549205,6.4
06/03/2023,1.666245751,82.11582991,0.215119988,6.5
07/03/2023,7.771507923,14.53012176,0.311541364,6.6
08/03/2023,3.768043721,36.73200853,0.404849921,6.7
09/03/2023,2.275854633,34.41618028,0.494113351,6.8
10/03/2023,8.411304568,85.52912986,0.578439764,6.9
11/03/2023,0.883482375,11.0454515,0.656986599,7
12/03/2023,8.999664775,15.4013368,0.72896904,7.1
13/03/2023,9.954568428,63.06112617,0.793667864,7.2
14/03/2023,6.953882419,31.37428991,0.850436621,7.3
15/03/2023,7.370839054,58.46941867,0.898708096,7.4
16/03/2023,7.772520587,26.11686683,0.937999977,7.5
17/03/2023,5.780297382,44.83183544,0.967919672,7.6
18/03/2023,1.399160135,1.246916767,0.988168234,7.7
19/03/2023,2.68477559,88.25931361,0.998543345,7.8
20/03/2023,2.659284001,39.15087299,0.998941342,7.9
21/03/2023,9.546230754,75.05192293,0.989358247,8
22/03/2023,3.289366379,90.87988442,0.969889811,8.1
23/03/2023,8.01569972,53.02755699,0.940730557,8.2
24/03/2023,9.179429749,2.404927727,0.902171834,8.3
25/03/2023,0.793856853,50.36557434,0.854598908,8.4
26/03/2023,8.970744758,72.09285747,0.798487113,8.5
27/03/2023,5.637437824,54.59308082,0.734397098,8.6
28/03/2023,4.956696738,82.82835736,0.66296923,8.7
29/03/2023,8.572944024,15.21345211,0.584917193,8.8
30/03/2023,4.51586786,64.75690316,0.501020856,8.9
31/03/2023,7.326507139,9.113933864,0.412118485,9
01/04/2023,1.400337234,47.55516729,0.319098362,9.1
02/04/2023,3.340586501,89.80344483,0.222889914,9.2
03/04/2023,8.984293356,77.87647585,0.124454424,9.3
04/04/2023,2.422519925,60.0824442,0.024775425,9.4
05/04/2023,6.358944087,63.82340718,-0.07515112,9.5
06/04/2023,9.607743297,32.32134296,-0.174326781,9.6
07/04/2023,3.139805294,18.54984875,-0.271760626,9.7
08/04/2023,9.402131342,80.0079276,-0.366479129,9.8
09/04/2023,8.06805119,11.70254236,-0.457535894,9.9
