,0,1,2,3,4,5,6,7,8,9,10,11
0,1.7704617,0.0,1.2767957,1.3991838,2.5614824,0.0,1.9863178,1.4861047,2.3222644,2.475066,1.0136898,0.0
1,1.3672402,0.0,1.197161,1.5599544,1.8912166,0.0,2.037636,1.3834906,1.753389,2.1049728,0.8761119,0.0
2,1.6783139,0.0,1.6677771,1.5500078,2.676785,0.0,2.162881,1.6613584,2.3167005,2.4513152,1.0204904,0.0
3,1.5495145,0.0,1.3398631,1.4911711,2.3413444,0.0,1.9261028,1.4955728,2.2342827,2.0016613,0.77386916,0.0
4,1.8112386,0.0,1.1735322,1.4684312,2.2561598,0.0,1.9859993,1.4140174,2.3042161,2.2493062,1.0851785,0.0
5,2.1492705,0.0,1.9145545,1.6314955,2.9002395,0.0,2.5668437,1.8534156,2.6896658,2.290705,1.6429102,0.0
6,1.5303762,0.0,1.3084599,1.7757959,1.9432796,0.0,1.9453663,1.434746,1.8941829,1.7021245,0.7447444,0.0
7,1.4591962,0.0,1.4572,1.2405149,2.0839024,0.0,2.2934265,1.5855452,2.1080682,2.4081392,1.4058558,0.0
8,1.5760732,0.0,1.4830037,0.9969487,1.7090439,0.0,2.3626595,1.6174434,2.58437,1.8305253,1.8022674,0.0
9,1.608451,0.0,1.7776436,1.6486042,2.768351,0.0,2.0215256,1.714541,2.2858856,2.6425998,0.77993035,0.005983934
10,1.5926543,0.0,1.8231921,2.031729,2.1633048,0.0,2.401099,1.6452663,1.7852944,1.7431697,1.2055771,0.0
11,1.4332137,0.0,0.91157746,1.846554,1.9980732,0.0,1.6622465,1.0608087,1.699661,2.1451435,0.33908343,0.0
12,1.4478532,0.0,1.5247973,1.1206667,2.0804396,0.0,2.205351,1.7447252,2.7865036,2.1644506,1.2467623,0.11632795
13,1.8340135,0.0,1.6472744,1.4800074,2.5815492,0.0,2.6131873,1.7743804,2.3158088,2.7088206,1.7393336,0.0
14,1.2000402,0.0,1.12153,1.3170278,1.5819694,0.0,1.7348558,1.4984239,2.2366607,1.7856444,0.664471,0.11023968
15,1.5857811,0.0,1.8547373,1.8359497,2.503758,0.0,2.1013534,1.8581713,2.0648832,2.1234894,0.8703243,0.0
16,1.677236,0.0,1.3242998,1.8354104,2.2681403,0.0,1.8876407,1.4721361,2.1170886,1.8628229,0.69977194,0.0
17,1.6346484,0.0,1.7467334,1.2000992,2.1952605,0.0,2.3872015,1.7390708,2.7519135,2.14895,1.5923526,0.0135535
18,1.8046495,0.0,1.566524,1.495857,2.4429407,0.0,2.1162877,1.5734024,2.56826,1.9004167,1.1790035,0.0
19,1.6311483,0.0,1.7475561,1.4660091,1.9077207,0.0,2.4330852,1.6874233,2.5381434,1.7247164,1.6239833,0.0
20,1.647015,0.0,1.149642,2.010845,2.178266,0.0,1.6592417,1.087361,1.7792299,1.9457312,0.45409107,0.0
21,1.5475802,0.0,1.5306791,1.3820701,2.182675,0.0,2.0906124,1.7201257,2.816411,2.0133643,1.059205,0.034718864
22,1.7630953,0.0,0.9024974,1.5881569,2.3368983,0.0,2.0446188,1.1279551,2.193032,2.415402,1.0012352,0.0
23,1.4880407,0.0,1.5135962,1.7635314,1.9430648,0.0,2.1155102,1.7305009,2.558273,1.6259803,0.8591715,0.0671593
24,1.8473608,0.0,1.8949476,1.8119771,2.9977689,0.0,2.4101155,2.0529287,2.3587565,2.46025,1.1755769,0.0
25,1.4378593,0.0,1.8279556,1.8953624,2.4341388,0.0,2.3645725,2.0942461,2.1330156,2.0338671,0.87220407,0.09663307
26,1.588176,0.0,1.0743554,1.4916489,2.0307217,0.0,1.9334878,1.4397033,1.7447286,2.1968138,0.9582981,0.0
27,1.2829287,0.0,0.8700058,1.4819357,1.3530143,0.0,1.6348417,1.4879657,2.083229,1.4904003,0.41728854,0.12334702
28,1.8040866,0.0,1.4094427,1.438957,2.3171968,0.0,1.972745,2.1288905,2.7585673,2.053799,0.8675619,0.042417847
29,1.7753319,0.0,1.1764283,1.426995,2.1611032,0.0,1.8326503,1.9048074,2.457178,1.841509,0.66756946,0.0
30,1.7527816,0.0,1.2364354,1.165734,2.1522636,0.0,1.9935583,2.1736667,2.5671506,2.1602428,0.93503904,0.1103378
31,1.8244189,0.0,0.6830086,1.4245312,1.7841116,0.0,1.5050318,1.5268297,1.7107644,1.7034609,0.44229937,0.0
32,1.7512306,0.0,0.97641003,1.6071861,1.5890679,0.0,1.9358517,1.9227327,1.4403399,1.7565063,0.83505005,0.01349324
33,1.8141862,0.0,1.120262,1.2416123,1.8422908,0.0,1.870677,2.2654314,2.1928356,1.8337514,0.7677596,0.15783107
34,1.5648038,0.0,0.73503625,0.98614264,1.2979298,0.0,1.3677809,2.0078747,1.886222,1.8522826,0.39856717,0.26621714
35,1.519953,0.0,0.31488782,0.9306336,0.7165474,0.0,1.3000655,1.6266044,1.2215316,1.5207448,0.4902079,0.16379872
36,1.9266547,0.0,0.5118749,1.0268745,1.1028497,0.0,1.4802451,2.0909827,1.7725948,1.5391492,0.64056146,0.15431485
37,1.9067693,0.0,0.6337621,0.9960718,1.4765427,0.0,1.4431785,2.169846,1.17272,2.1266358,0.5991129,0.11696536
38,1.9486028,0.0,0.6463254,0.69179034,1.2016606,0.0,1.5914279,2.402198,2.1195736,1.6589597,0.7887036,0.2901208
39,2.0514646,0.0,0.5131985,1.192254,0.87097144,0.0,1.3232098,2.266293,1.8537959,0.9406348,0.32119435,0.245707
40,1.795372,0.0,0.22695224,0.9226818,0.5152465,0.0,1.2918068,2.2143846,0.9501337,1.3596483,0.47013837,0.27482963
41,1.8804812,0.0,0.116283506,0.7810966,0.79677594,0.0,1.2619456,2.2534676,0.9734565,1.5649664,0.41733706,0.20943028
42,1.9336748,0.0,0.5631118,0.9724273,1.1195112,0.0,1.259441,2.510464,1.1684288,1.5939698,0.15436643,0.36890602
43,2.141427,0.0,0.37406674,0.9306172,0.8093591,0.0,1.4948174,2.5142074,1.1324352,1.3600787,0.68967795,0.2284942
44,2.5215845,0.0,0.5743833,1.0160339,1.3769622,0.0,1.4190428,2.5690482,1.2520846,1.570786,0.6317352,0.101824395
45,2.7071872,0.0,0.20954138,1.0556619,0.66087633,0.0,1.680618,2.2618203,0.9090073,0.32059574,1.1609488,0.0
46,2.5243735,0.0,0.5603347,0.5995515,1.2644875,0.0,1.4728171,2.5948827,0.96217465,1.7438353,0.9690217,0.10209685
47,2.9800272,0.0,0.24879904,0.94025606,1.3772728,0.0,1.0755298,2.4980276,1.768573,0.7395312,0.3440155,0.0
48,2.6257544,0.0,0.713283,0.60265577,1.4328077,0.0,1.446479,2.8658497,1.4285884,1.5357008,0.8327048,0.16681996
49,2.7225862,0.0,0.5476189,0.67753994,1.333087,0.0,1.479543,2.7283142,1.4026961,1.188109,0.87129366,0.04646697
50,2.6318746,0.0,0.29620087,0.49638885,0.8175906,0.0,1.0103221,2.5061824,1.2613655,1.0091523,0.6091916,0.11151195
51,2.7270894,0.0,0.010167211,0.7798032,0.8237195,0.0,0.93718094,2.192223,0.45955434,1.1424181,0.5236224,0.0
52,2.9411726,0.0,0.4210661,0.41499537,1.4047408,0.0,1.3337857,2.68908,1.1260823,1.744492,1.2099957,0.0
53,2.636733,0.0,0.30334508,0.19446741,1.4380816,0.0,1.0516443,2.6107821,1.0199298,1.9562141,0.80094445,0.0
54,2.7727504,0.0,0.0,0.7510717,0.7551646,0.0,0.8795432,2.2054746,0.60102546,1.0036912,0.54007703,0.0
55,2.6989765,0.0,0.8382107,0.7681737,1.314621,0.0,1.199003,2.9827023,1.2061206,1.4439449,0.6953924,0.17394906
56,2.5878382,0.0,0.20799507,0.90388256,0.7219119,0.0,0.7986497,2.407074,0.60036945,0.74559855,0.28497076,0.0
57,2.7940764,0.0,0.5468574,0.93318397,1.1144464,0.0,1.0308254,2.7092843,1.1161306,1.0356939,0.535805,0.027115338
